prop_budget,method,seed,width,coverage
0.0100,wor-uniform,773,0.045383453369140625,0.0
0.0100,wor-uniform,774,0.024035334587097168,0.0
0.0100,wor-uniform,775,0.04398608207702637,0.0
0.0100,wor-uniform,776,0.041287899017333984,0.0
0.0100,wor-uniform,777,0.023144245147705078,0.0
0.0100,wor-uniform,778,0.036852359771728516,1.0
0.0100,wor-uniform,779,0.04036211967468262,1.0
0.0100,wor-uniform,780,0.0702059268951416,0.0
0.0100,wor-uniform,781,0.0240095853805542,0.0
0.0100,wor-uniform,782,0.02242124080657959,0.0
0.0100,wor-uniform,783,0.054314374923706055,0.0
0.0100,wor-uniform,784,0.023202896118164062,0.0
0.0100,wor-uniform,785,0.050801992416381836,0.0
0.0100,wor-uniform,786,0.08077096939086914,0.0
0.0100,wor-uniform,787,0.025545477867126465,0.0
0.0100,wor-uniform,788,0.06897902488708496,0.0
0.0100,wor-uniform,789,0.06245684623718262,0.0
0.0100,wor-uniform,790,0.030392885208129883,0.0
0.0100,wor-uniform,791,0.042490243911743164,0.0
0.0100,wor-uniform,792,0.03404998779296875,0.0
0.0100,wor-uniform,793,0.029509782791137695,0.0
0.0100,wor-uniform,794,0.038857221603393555,0.0
0.0100,wor-uniform,795,0.04631447792053223,0.0
0.0100,wor-uniform,796,0.05370903015136719,0.0
0.0100,wor-uniform,797,0.02257513999938965,0.0
0.0100,wor-uniform,798,0.03778839111328125,0.0
0.0100,wor-uniform,799,0.02967667579650879,0.0
0.0100,wor-uniform,800,0.02251255512237549,0.0
0.0100,wor-uniform,801,0.019188880920410156,0.0
0.0100,wor-uniform,802,0.03183484077453613,0.0
0.0100,wor-uniform,803,0.02652907371520996,0.0
0.0100,wor-uniform,804,0.03904080390930176,0.0
0.0100,wor-uniform,805,0.0413818359375,0.0
0.0100,wor-uniform,806,0.0229189395904541,0.0
0.0100,wor-uniform,807,0.02557694911956787,0.0
0.0100,wor-uniform,808,0.02895355224609375,0.0
0.0100,wor-uniform,809,0.04523181915283203,0.0
0.0100,wor-uniform,810,0.018863439559936523,0.0
0.0100,wor-uniform,811,0.038983821868896484,0.0
0.0100,wor-uniform,812,0.02719295024871826,0.0
0.0100,wor-uniform,813,0.018079638481140137,0.0
0.0100,wor-uniform,814,0.05058121681213379,0.0
0.0100,wor-uniform,815,0.040903329849243164,0.0
0.0100,wor-uniform,816,0.0550844669342041,0.0
0.0100,wor-uniform,817,0.028760194778442383,0.0
0.0100,wor-uniform,818,0.03731966018676758,0.0
0.0100,wor-uniform,819,0.05070614814758301,0.0
0.0100,wor-uniform,820,0.05989193916320801,0.0
0.0100,wor-uniform,821,0.03170180320739746,0.0
0.0100,wor-uniform,822,0.0644235610961914,0.0
0.0100,wor-uniform,823,0.05495786666870117,0.0
0.0100,wor-uniform,824,0.05732583999633789,0.0
0.0100,wor-uniform,825,0.11003780364990234,0.0
0.0100,wor-uniform,826,0.05452561378479004,0.0
0.0100,wor-uniform,827,0.029462814331054688,0.0
0.0100,wor-uniform,828,0.03666698932647705,0.0
0.0100,wor-uniform,829,0.016959190368652344,0.0
0.0100,wor-uniform,830,0.03677654266357422,0.0
0.0100,wor-uniform,831,0.030519485473632812,0.0
