prop_budget,method,seed,width,coverage
0.0100,bernoulli-active,592,2.1517210006713867,1.0
0.0100,bernoulli-active,593,2.3614301681518555,1.0
0.0100,bernoulli-active,594,2.8334827423095703,1.0
0.0100,bernoulli-active,595,2.6933979988098145,0.0
0.0100,bernoulli-active,596,2.192007541656494,1.0
0.0100,bernoulli-active,597,2.3020358085632324,1.0
0.0100,bernoulli-active,598,1.3805208206176758,1.0
0.0100,bernoulli-active,599,1.666733741760254,1.0
0.0100,bernoulli-active,600,2.7241644859313965,1.0
0.0100,bernoulli-active,601,2.9254887104034424,1.0
0.0100,bernoulli-active,602,1.4093290567398071,1.0
0.0100,bernoulli-active,603,3.0444836616516113,1.0
0.0100,bernoulli-active,604,3.296670436859131,1.0
0.0100,bernoulli-active,605,1.3964329957962036,1.0
0.0100,bernoulli-active,606,2.6941776275634766,1.0
0.0100,bernoulli-active,607,2.511443853378296,1.0
0.0100,bernoulli-active,608,1.6732641458511353,1.0
0.0100,bernoulli-active,609,2.663327217102051,1.0
0.0100,bernoulli-active,610,2.633957624435425,1.0
0.0100,bernoulli-active,611,4.3348565101623535,1.0
0.0100,bernoulli-active,612,2.053190231323242,1.0
0.0100,bernoulli-active,613,2.5422744750976562,1.0
0.0100,bernoulli-active,614,2.5438754558563232,1.0
0.0100,bernoulli-active,615,5.050551414489746,1.0
0.0100,bernoulli-active,616,2.113821268081665,1.0
0.0100,bernoulli-active,617,2.023143768310547,1.0
0.0100,bernoulli-active,618,2.0165505409240723,1.0
0.0100,bernoulli-active,619,3.033268451690674,1.0
0.0100,bernoulli-active,620,1.4846621751785278,1.0
0.0100,bernoulli-active,621,2.555596351623535,1.0
0.0100,bernoulli-active,622,2.524282455444336,1.0
0.0100,bernoulli-active,623,2.968759536743164,1.0
0.0100,bernoulli-active,624,2.4527273178100586,1.0
0.0100,bernoulli-active,625,2.9025425910949707,1.0
0.0100,bernoulli-active,626,4.013904571533203,0.0
0.0100,bernoulli-active,627,5.690891265869141,0.0
0.0100,bernoulli-active,628,1.1956133842468262,1.0
0.0100,bernoulli-active,629,3.1693036556243896,1.0
0.0100,bernoulli-active,630,1.8934266567230225,1.0
0.0100,bernoulli-active,631,2.101146697998047,1.0
0.0100,bernoulli-active,632,1.3229846954345703,1.0
0.0100,bernoulli-active,633,2.059001922607422,1.0
0.0100,bernoulli-active,634,2.1165168285369873,1.0
0.0100,bernoulli-active,635,3.455307960510254,1.0
