dataset,n_full_obs,mcar_obs_prob,prop_budget,tau,mean_width,mean_width_se,coverage,n_seeds
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.375,0.5,0.025192043501883695,9.018105118847125e-07,0.9500723327305606,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.375,0.75,0.025051475651562165,7.183017459851017e-07,0.9497151898734176,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.4,0.05,0.026131006292998745,5.491670822557313e-06,0.9513200723327305,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.4,0.25,0.02424348600208754,1.3210497825740854e-06,0.9505153707052441,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.4,0.5,0.02388787504285569,8.612507405153313e-07,0.9502486437613019,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.4,0.75,0.02375571547076101,6.695505023157509e-07,0.9500452079566003,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.425,0.05,0.02464550955221052,5.2559086159104575e-06,0.9510171790235081,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.425,0.25,0.023005153816193294,1.2184050902713835e-06,0.9507278481012658,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.425,0.5,0.022676332574337682,8.066445108122522e-07,0.9506057866184449,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.425,0.75,0.0225521401688456,6.364724522902099e-07,0.9500723327305606,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.45,0.05,0.023340186215937083,4.841777706652221e-06,0.9512160940325497,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.45,0.25,0.02184895157814021,1.0509863483212142e-06,0.9504113924050632,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.45,0.5,0.021540399938821744,7.43944396015366e-07,0.9502983725135624,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.45,0.75,0.02142324794083829,5.76537817339044e-07,0.9499050632911391,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.475,0.05,0.022127463743090582,4.727014547839813e-06,0.9510307414104883,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.475,0.25,0.020770682282745784,1.1154290657435607e-06,0.9505379746835443,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.475,0.5,0.0204780518636107,7.380771313957878e-07,0.9501039783001808,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.475,0.75,0.020366807486861892,5.551516761011962e-07,0.9504792043399638,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.5,0.05,0.022090762425214003,5.847104434664704e-06,0.9512839059674502,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.5,0.25,0.019863300770521123,1.237900739837218e-06,0.9504339963833633,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.5,0.5,0.0194917094521224,7.183637369393896e-07,0.9500180831826401,100
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.5,0.75,0.019366926718503194,5.268597676935754e-07,0.9496247739602169,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.275,0.05,0.03178113978356118,1.0459072293992962e-05,0.950370705244123,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.275,0.25,0.02836661720648403,2.013354607262716e-06,0.9495433996383363,100
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.275,0.5,0.02777325732633467,1.284477645816938e-06,0.949362567811935,100
