dataset,prop_budget,seed,mean_width,coverage
bbh+gpqa+ifeval+math+musr,0.275,5,0.02055419608950615,0.9547920433996383
bbh+gpqa+ifeval+math+musr,0.275,6,0.020559681579470634,0.9502712477396021
bbh+gpqa+ifeval+math+musr,0.275,7,0.02056189253926277,0.9394213381555153
bbh+gpqa+ifeval+math+musr,0.275,8,0.020516412332654,0.9471066907775768
bbh+gpqa+ifeval+math+musr,0.275,9,0.020539231598377228,0.9466546112115732
bbh+gpqa+ifeval+math+musr,0.275,10,0.020556336268782616,0.9412296564195298
bbh+gpqa+ifeval+math+musr,0.275,11,0.020545417442917824,0.9452983725135623
bbh+gpqa+ifeval+math+musr,0.275,12,0.0205474104732275,0.9543399638336347
bbh+gpqa+ifeval+math+musr,0.275,13,0.020559260621666908,0.9448462929475587
bbh+gpqa+ifeval+math+musr,0.275,14,0.020524950698018074,0.9489150090415913
bbh+gpqa+ifeval+math+musr,0.275,15,0.02052648551762104,0.953887884267631
bbh+gpqa+ifeval+math+musr,0.275,16,0.020553473383188248,0.9475587703435805
bbh+gpqa+ifeval+math+musr,0.275,17,0.020528115332126617,0.9484629294755876
bbh+gpqa+ifeval+math+musr,0.275,18,0.020559854805469513,0.9484629294755876
bbh+gpqa+ifeval+math+musr,0.275,19,0.02051948942244053,0.9489150090415913
bbh+gpqa+ifeval+math+musr,0.275,20,0.020537761971354485,0.9480108499095841
bbh+gpqa+ifeval+math+musr,0.275,21,0.020519688725471497,0.9493670886075949
bbh+gpqa+ifeval+math+musr,0.275,22,0.02057690918445587,0.9502712477396021
bbh+gpqa+ifeval+math+musr,0.275,23,0.020547645166516304,0.953887884267631
bbh+gpqa+ifeval+math+musr,0.275,24,0.02052081748843193,0.9511754068716094
bbh+gpqa+ifeval+math+musr,0.275,25,0.020520668476819992,0.9471066907775768
bbh+gpqa+ifeval+math+musr,0.275,26,0.02054094895720482,0.9507233273056057
bbh+gpqa+ifeval+math+musr,0.275,27,0.020558487623929977,0.95750452079566
bbh+gpqa+ifeval+math+musr,0.275,28,0.02054002322256565,0.9511754068716094
bbh+gpqa+ifeval+math+musr,0.275,29,0.020569443702697754,0.9448462929475587
bbh+gpqa+ifeval+math+musr,0.275,30,0.020538317039608955,0.9529837251356238
bbh+gpqa+ifeval+math+musr,0.275,31,0.02058577351272106,0.9480108499095841
bbh+gpqa+ifeval+math+musr,0.275,32,0.020552942529320717,0.9471066907775768
bbh+gpqa+ifeval+math+musr,0.3,0,0.01956765539944172,0.953887884267631
bbh+gpqa+ifeval+math+musr,0.3,1,0.0194981899112463,0.9462025316455696
bbh+gpqa+ifeval+math+musr,0.3,2,0.01954711228609085,0.939873417721519
bbh+gpqa+ifeval+math+musr,0.3,3,0.01953931897878647,0.9493670886075949
bbh+gpqa+ifeval+math+musr,0.3,4,0.019543718546628952,0.9484629294755876
bbh+gpqa+ifeval+math+musr,0.3,5,0.019540540874004364,0.9570524412296564
bbh+gpqa+ifeval+math+musr,0.3,6,0.019545642659068108,0.9534358047016275
bbh+gpqa+ifeval+math+musr,0.3,7,0.019553303718566895,0.9480108499095841
bbh+gpqa+ifeval+math+musr,0.3,8,0.019513752311468124,0.9434900542495479
bbh+gpqa+ifeval+math+musr,0.3,9,0.01952928490936756,0.9466546112115732
bbh+gpqa+ifeval+math+musr,0.3,10,0.019540833309292793,0.9430379746835442
bbh+gpqa+ifeval+math+musr,0.3,11,0.019532039761543274,0.9443942133815552
bbh+gpqa+ifeval+math+musr,0.3,12,0.019537383690476418,0.9511754068716094
bbh+gpqa+ifeval+math+musr,0.3,13,0.01954270526766777,0.9439421338155515
bbh+gpqa+ifeval+math+musr,0.3,14,0.019520796835422516,0.9489150090415913
bbh+gpqa+ifeval+math+musr,0.3,15,0.019522113725543022,0.9547920433996383
bbh+gpqa+ifeval+math+musr,0.3,16,0.0195377916097641,0.9412296564195298
bbh+gpqa+ifeval+math+musr,0.3,17,0.019520988687872887,0.9520795660036167
bbh+gpqa+ifeval+math+musr,0.3,18,0.019551068544387817,0.9502712477396021
bbh+gpqa+ifeval+math+musr,0.3,19,0.019511288031935692,0.9552441229656419
bbh+gpqa+ifeval+math+musr,0.3,20,0.019528435543179512,0.9502712477396021
bbh+gpqa+ifeval+math+musr,0.3,21,0.01951068826019764,0.9520795660036167
bbh+gpqa+ifeval+math+musr,0.3,22,0.019563745707273483,0.9556962025316456
bbh+gpqa+ifeval+math+musr,0.3,23,0.01953706331551075,0.9547920433996383
bbh+gpqa+ifeval+math+musr,0.3,24,0.019511185586452484,0.9529837251356238
bbh+gpqa+ifeval+math+musr,0.3,25,0.019512739032506943,0.951627486437613
bbh+gpqa+ifeval+math+musr,0.3,26,0.019530028104782104,0.9507233273056057
bbh+gpqa+ifeval+math+musr,0.3,27,0.01954692043364048,0.9561482820976491
bbh+gpqa+ifeval+math+musr,0.3,28,0.019530821591615677,0.9525316455696202
bbh+gpqa+ifeval+math+musr,0.3,29,0.019565366208553314,0.9520795660036167
bbh+gpqa+ifeval+math+musr,0.3,30,0.019527345895767212,0.9543399638336347
bbh+gpqa+ifeval+math+musr,0.3,31,0.019567012786865234,0.9471066907775768
bbh+gpqa+ifeval+math+musr,0.3,32,0.019545719027519226,0.9484629294755876
bbh+gpqa+ifeval+math+musr,0.325,0,0.018687479197978973,0.9570524412296564
bbh+gpqa+ifeval+math+musr,0.325,1,0.01862252876162529,0.951627486437613
