lb,ub,interval width,coverage,estimator,$n_b$
-0.013681595,0.040979903,0.054661497,1,faq (simp var),2755
-0.018620867,0.03857171,0.05719258,1,faq (full var),2755
-0.018624982,0.038575828,0.05720081,1,faq (simp var),2755
-0.029320324,0.026007472,0.055327795,1,faq (full var),2755
-0.029334798,0.026021946,0.055356745,1,faq (simp var),2755
-0.025779195,0.027722638,0.053501833,1,faq (full var),2755
-0.025785152,0.027728595,0.053513747,1,faq (simp var),2755
0.008605089,0.06772019,0.0591151,0,faq (full var),2755
0.008594841,0.06773044,0.0591356,0,faq (simp var),2755
-0.013415722,0.045601442,0.059017166,1,faq (full var),2755
-0.013416933,0.045602657,0.059019588,1,faq (simp var),2755
-0.04040066,0.014008997,0.05440966,1,faq (full var),2755
-0.0404044,0.014012737,0.05441714,1,faq (simp var),2755
-0.027461639,0.029077357,0.056538995,1,faq (full var),2755
-0.027461957,0.029077675,0.056539632,1,faq (simp var),2755
-0.026094275,0.032390546,0.058484823,1,faq (full var),2755
-0.026096992,0.03239326,0.058490254,1,faq (simp var),2755
-0.0319722,0.025534505,0.057506703,1,faq (full var),2755
-0.031976074,0.025538377,0.05751445,1,faq (simp var),2755
-0.00176052,0.05470672,0.05646724,1,faq (full var),2755
-0.0017679017,0.0547141,0.056482002,1,faq (simp var),2755
-0.0347686,0.014744643,0.049513243,1,faq (full var),2755
-0.0347836,0.014759645,0.049543247,1,faq (simp var),2755
-0.027405249,0.024706455,0.052111704,1,faq (full var),2755
-0.02741536,0.024716565,0.052131925,1,faq (simp var),2755
-0.02813336,0.023920251,0.05205361,1,faq (full var),2755
-0.02814361,0.023930501,0.052074112,1,faq (simp var),2755
-0.030304447,0.022087734,0.05239218,1,faq (full var),2755
-0.030321147,0.022104435,0.052425582,1,faq (simp var),2755
-0.023744045,0.03460151,0.058345556,1,faq (full var),2755
-0.023744475,0.03460194,0.058346417,1,faq (simp var),2755
-0.0048634373,0.059272524,0.06413596,1,faq (full var),2755
-0.0048716664,0.059280753,0.06415242,1,faq (simp var),2755
-0.030912913,0.020124841,0.051037755,1,faq (full var),2755
-0.030913154,0.020125082,0.051038235,1,faq (simp var),2755
-0.028575033,0.02539983,0.053974863,1,faq (full var),2755
-0.028577391,0.025402188,0.05397958,1,faq (simp var),2755
-0.033653866,0.022779929,0.056433797,1,faq (full var),2755
-0.033684168,0.022810228,0.056494396,1,faq (simp var),2755
-0.02450008,0.03175027,0.05625035,1,faq (full var),2755
-0.024501257,0.031751446,0.056252703,1,faq (simp var),2755
-0.028503453,0.02331685,0.051820304,1,faq (full var),2755
-0.028505411,0.023318809,0.05182422,1,faq (simp var),2755
-0.033740755,0.020466246,0.054207,1,faq (full var),2755
-0.033742927,0.02046842,0.05421135,1,faq (simp var),2755
-0.035161458,0.017068157,0.052229613,1,faq (full var),2755
-0.035161555,0.01706825,0.052229807,1,faq (simp var),2755
-0.04863367,-0.0024196766,0.046213992,0,faq (full var),2755
-0.04865724,-0.0023961086,0.04626113,0,faq (simp var),2755
-0.0360438,0.016161792,0.052205592,1,faq (full var),2755
-0.03604508,0.01616307,0.052208148,1,faq (simp var),2755
-0.037647486,0.013663408,0.051310893,1,faq (full var),2755
-0.03765624,0.013672163,0.051328402,1,faq (simp var),2755
-0.026364794,0.028782988,0.055147782,1,faq (full var),2755
-0.026366852,0.028785046,0.0551519,1,faq (simp var),2755
-0.034243915,0.022017656,0.05626157,1,faq (full var),2755
-0.034243934,0.022017675,0.056261607,1,faq (simp var),2755
-0.0058148913,0.051900875,0.057715766,1,faq (full var),2755
-0.0058223456,0.05190833,0.057730675,1,faq (simp var),2755
-0.020224877,0.036670968,0.056895845,1,faq (full var),2755
-0.020225614,0.0366717,0.056897316,1,faq (simp var),2755
-0.034290887,0.018889569,0.053180456,1,faq (full var),2755
-0.034291055,0.018889736,0.05318079,1,faq (simp var),2755
-0.021144222,0.03361911,0.054763332,1,faq (full var),2755
-0.021144228,0.033619113,0.05476334,1,faq (simp var),2755
-0.012740903,0.042462125,0.055203028,1,faq (full var),2755
-0.012741625,0.042462848,0.055204473,1,faq (simp var),2755
-0.023047652,0.03593902,0.05898667,1,faq (full var),2755
-0.023047652,0.03593902,0.05898667,1,faq (simp var),2755
-0.025587792,0.025410129,0.05099792,1,faq (full var),2755
-0.025601989,0.025424326,0.051026314,1,faq (simp var),2755
-0.023075018,0.035690363,0.05876538,1,faq (full var),2755
-0.023075873,0.035691217,0.058767088,1,faq (simp var),2755
-0.027677646,0.025848484,0.05352613,1,faq (full var),2755
-0.027680425,0.025851263,0.053531688,1,faq (simp var),2755
-0.030518655,0.0225421,0.053060755,1,faq (full var),2755
-0.030526772,0.022550218,0.05307699,1,faq (simp var),2755
-0.050218232,0.00032326765,0.050541498,1,faq (full var),2755
-0.050266035,0.00037106872,0.050637104,1,faq (simp var),2755
-0.039802156,0.014287176,0.05408933,1,faq (full var),2755
-0.03980224,0.014287261,0.0540895,1,faq (simp var),2755
-0.0025737956,0.058763836,0.06133763,1,faq (full var),2755
-0.0025822297,0.05877227,0.0613545,1,faq (simp var),2755
-0.007906834,0.04890327,0.056810103,1,faq (full var),2755
-0.007906996,0.04890343,0.056810427,1,faq (simp var),2755
-0.03318671,0.019410038,0.052596748,1,faq (full var),2755
-0.033194557,0.019417882,0.05261244,1,faq (simp var),2755
-0.010289388,0.05076973,0.061059117,1,faq (full var),2755
-0.010299474,0.05077982,0.061079293,1,faq (simp var),2755
-0.030337766,0.024094287,0.054432053,1,faq (full var),2755
-0.030337853,0.024094375,0.05443223,1,faq (simp var),2755
0.0065986402,0.06830619,0.061707553,0,faq (full var),2755
0.00658362,0.06832121,0.061737593,0,faq (simp var),2755
-0.018201105,0.035825014,0.05402612,1,faq (full var),2755
-0.018203065,0.035826977,0.054030042,1,faq (simp var),2755
-0.03866166,0.016082622,0.05474428,1,faq (full var),2755
-0.03866169,0.016082654,0.05474434,1,faq (simp var),2755
-0.03392364,0.0224564,0.05638004,1,faq (full var),2755
-0.033925094,0.022457857,0.05638295,1,faq (simp var),2755
-0.022143783,0.032592744,0.054736525,1,faq (full var),2755
-0.022144007,0.032592967,0.05473697,1,faq (simp var),2755
-0.02631836,0.024377301,0.05069566,1,faq (full var),2755
-0.026330823,0.024389764,0.050720587,1,faq (simp var),2755
-0.017863646,0.039303973,0.05716762,1,faq (full var),2755
-0.017867038,0.039307363,0.0571744,1,faq (simp var),2755
-0.013198595,0.041519526,0.054718122,1,faq (full var),2755
-0.013198628,0.04151956,0.05471819,1,faq (simp var),2755
-0.024854567,0.031332266,0.056186832,1,faq (full var),2755
-0.024854578,0.031332277,0.056186855,1,faq (simp var),2755
-0.014296349,0.04252173,0.05681808,1,faq (full var),2755
-0.014296414,0.042521797,0.05681821,1,faq (simp var),2755
-0.04874801,0.0046873707,0.053435378,1,faq (full var),2755
-0.048757188,0.004696546,0.053453736,1,faq (simp var),2755
-0.028461251,0.029991135,0.058452386,1,faq (full var),2755
-0.028461296,0.02999118,0.058452476,1,faq (simp var),2755
-0.024053516,0.030722594,0.05477611,1,faq (full var),2755
-0.024056049,0.030725127,0.054781176,1,faq (simp var),2755
-0.019749949,0.037186347,0.056936294,1,faq (full var),2755
-0.019750118,0.03718652,0.056936637,1,faq (simp var),2755
-0.021282172,0.038524054,0.059806228,1,faq (full var),2755
-0.021286469,0.038528353,0.059814822,1,faq (simp var),2755
-0.04788608,0.0026180372,0.05050412,1,faq (full var),2755
-0.047918316,0.002650272,0.050568588,1,faq (simp var),2755
-0.029751608,0.024936961,0.05468857,1,faq (full var),2755
-0.0297546,0.024939952,0.054694552,1,faq (simp var),2755
0.0017758086,0.046488494,0.044712685,0,faq (full var),4561
